CH1	CH2	CH3	CH4	CH5
0.00013733	-0.0045319	0.042023	0.0020142	0.012589
-0.0023346	-0.0055389	0.05452	0.003067	0.0037994
-0.0018311	-0.011856	0.02449	-0.0013275	0.0091095
-0.0014648	-0.0079193	0.026688	0.0016022	0.0040741
-0.0018768	-0.0099335	0.079422	0.0065002	0.0037079
-0.0073242	-0.02037	0.11595	0.002243	0.0097046
-0.0020142	-0.0035248	0.19917	0.00032043	-0.0035706
0.0035248	-0.00027466	0.29956	-0.0009613	0.0054016
0.0013275	-0.0082855	0.17546	-4.5776e-05	0.0011444
-0.0052185	-0.0048065	-0.0050354	0.0042572	-0.0016022
-0.0050354	-0.0028381	-0.24902	-0.00068665	0.0073242
-0.0092926	-0.0061798	-0.37546	0.0032501	-0.0018768
-0.010391	-0.0049896	-0.4855	0.0037537	0.008194
-0.013458	-0.0084686	-0.5116	-0.0059052	0.0061798
-0.019409	-0.016068	-0.32726	0.0016937	-0.0033417
-0.019272	-0.005722	-0.10909	0.0024719	-0.0013275
-0.018311	-0.0077362	0.036392	0.0029297	0.0038452
-0.017441	-0.0010986	0.1962	0.00082397	-0.0021057
-0.02037	-0.0079651	0.27022	0.003891	-4.5776e-05
-0.011719	-0.0029297	0.18265	0.0016022	0.0091095
0.0027924	-0.0059509	0.010345	0.00032043	-0.0050812
0.024994	-0.020187	-0.029114	-0.0037079	-0.0049896
0.046555	-0.0040741	-0.03923	-0.0020599	0.0071869
0.054932	-0.0064545	0.0065918	-0.0062714	0.002655
0.049026	-0.0037994	0.066238	-0.0016479	-0.0032501
0.033966	-0.0066376	0.14534	0.0044403	0.0041656
0.017532	-0.0033875	0.13683	0.0098419	0.0085602
0.010803	-9.1553e-05	0.072968	-0.00050354	9.1553e-05
0.0097504	-0.0070953	0.0029297	0.0037994	-0.0046234
9.1553e-05	0.0056305	0.023758	-0.00064087	-0.005722
-0.005127	-0.0041656	0.095535	0.00032043	0.003479
-0.013	0.004715	0.12621	0.00022888	9.1553e-05
-0.019775	-0.0046234	0.060745	0.0023346	-0.007782
-0.01918	-0.0040741	-0.026962	-0.00064087	0.0032501
-0.023758	-0.0081024	-0.15193	-0.0063629	0.010208
-0.021744	-0.009201	-0.21231	0.00086975	0.001236
-0.02005	-0.017258	-0.18008	-0.0023346	0.0032501
-0.0046692	-0.0027008	0.034561	-0.00018311	0.006134
-0.0049438	-0.0030212	0.16658	0.016113	-0.0055389
-0.0061798	-0.0051727	0.15303	0.0168	0.003891
-0.0079193	-0.010757	0.015976	0.0074158	0.0094299
-0.0055847	-0.00059509	-0.11705	-0.0010529	4.5776e-05
-0.0021973	-0.0084686	-0.11357	0.0032501	0.013321
-0.0011444	-0.0026093	-0.11147	0.0046234	0.0017853
0.0036163	-0.01506	-0.18745	0.0009613	0.0011444
0.0043488	-0.0014191	-0.14095	-0.0041656	0.011673
-0.0067749	0.00086975	0.0058594	0.0018768	0.0071869
